linux/ftp/proftp_sreplace,CVE-2006-5815;OSVDB-68985;BID-20992;URL-http://seclists.org/bugtraq/2006/Nov/94;URL-http://seclists.org/bugtraq/2006/Nov/538;URL-http://bugs.proftpd.org/show_bug.cgi?id=2858;URL-http://proftp.cvs.sourceforge.net/proftp/proftpd/src/main.c?view=diff&r1=text&tr1=1.292&r2=text&tr2=1.294&diff_format=h
linux/ftp/proftp_telnet_iac,CVE-2010-4221;OSVDB-68985;BID-44562
linux/games/ut2004_secure,CVE-2004-0608;OSVDB-7217;BID-10570
linux/http/airties_login_cgi_bof,EDB-36577;URL-http://www.bmicrosystems.com/blog/exploiting-the-airties-air-series/;URL-http://www.bmicrosystems.com/exploits/airties5650tt.txt
linux/http/alcatel_omnipcx_mastercgi_exec,OSVDB-40521;BID-25694;CVE-2007-3010;URL-http://www1.alcatel-lucent.com/psirt/statements/2007002/OXEUMT.htm
linux/http/alienvault_sqli_exec,OSVDB-106252;EDB-33006
linux/http/astium_sqli_upload,OSVDB-88860;EDB-23831
linux/http/belkin_login_bof,CVE-2014-1635;EDB-35184;BID-70977;OSVDB-114345;URL-https://labs.integrity.pt/articles/from-0-day-to-exploit-buffer-overflow-in-belkin-n750-cve-2014-1635/;URL-http://www.belkin.com/us/support-article?articleNum=4831
linux/http/centreon_sqli_exec,CVE-2014-3828;CVE-2014-3829;US-CERT-VU-298796;URL-http://seclists.org/fulldisclosure/2014/Oct/78
linux/http/cfme_manageiq_evm_upload_exec,CVE-2013-2068;URL-https://cwe.mitre.org/data/definitions/22.html;URL-https://bugzilla.redhat.com/show_bug.cgi?id=960422
linux/http/ddwrt_cgibin_exec,CVE-2009-2765;OSVDB-55990;BID-35742;EDB-9209
linux/http/dlink_authentication_cgi_bof,OSVDB-95951;EDB-27283;URL-http://securityadvisories.dlink.com/security/publication.aspx?name=SAP10008;URL-http://www.dlink.com/us/en/home-solutions/connect/routers/dir-645-wireless-n-home-router-1000;URL-http://roberto.greyhats.it/advisories/20130801-dlink-dir645.txt
linux/http/dlink_command_php_exec_noauth,OSVDB-89861;EDB-24453;BID-57734;URL-http://www.dlink.com/uk/en/home-solutions/connect/routers/dir-600-wireless-n-150-home-router;URL-http://www.s3cur1ty.de/home-network-horror-days;URL-http://www.s3cur1ty.de/m1adv2013-003
linux/http/dlink_diagnostic_exec_noauth,OSVDB-92144;BID-58938;EDB-24926;URL-http://www.s3cur1ty.de/m1adv2013-017
linux/http/dlink_dir300_exec_telnet,OSVDB-92698;EDB-25024;BID-59405;URL-http://www.s3cur1ty.de/m1adv2013-014
linux/http/dlink_dir605l_captcha_bof,OSVDB-86824;URL-http://www.devttys0.com/2012/10/exploiting-a-mips-stack-overflow/
linux/http/dlink_dir615_up_exec,BID-57882;EDB-24477;OSVDB-90174;URL-http://www.s3cur1ty.de/m1adv2013-008
linux/http/dlink_dspw215_info_cgi_bof,OSVDB-108249;URL-http://www.devttys0.com/2014/05/hacking-the-dspw215-again/
linux/http/dlink_hedwig_cgi_bof,OSVDB-95950;EDB-27283;URL-http://securityadvisories.dlink.com/security/publication.aspx?name=SAP10008;URL-http://www.dlink.com/us/en/home-solutions/connect/routers/dir-645-wireless-n-home-router-1000;URL-http://roberto.greyhats.it/advisories/20130801-dlink-dir645.txt
linux/http/dlink_hnap_bof,CVE-2014-3936;BID-67651;URL-http://www.devttys0.com/2014/05/hacking-the-d-link-dsp-w215-smart-plug/;URL-http://securityadvisories.dlink.com/security/publication.aspx?name=SAP10029
linux/http/dlink_hnap_header_exec_noauth,URL-http://securityadvisories.dlink.com/security/publication.aspx?name=SAP10051;URL-http://www.devttys0.com/2015/04/hacking-the-d-link-dir-890l/
linux/http/dlink_upnp_exec_noauth,OSVDB-94924;BID-61005;EDB-26664;URL-http://www.s3cur1ty.de/m1adv2013-020
linux/http/dolibarr_cmd_exec,OSVDB-80980;URL-http://seclists.org/fulldisclosure/2012/Apr/78
linux/http/dreambox_openpli_shell,OSVDB-90230;BID-57943;EDB-24498;URL-http://openpli.org/wiki/Webif;URL-http://www.s3cur1ty.de/m1adv2013-007
linux/http/esva_exec,OSVDB-85462;BID-55050;EDB-20551
linux/http/f5_icontrol_exec,CVE-2014-2928;URL-http://support.f5.com/kb/en-us/solutions/public/15000/200/sol15220.html
linux/http/foreman_openstack_satellite_code_exec,CVE-2013-2121;URL-https://cwe.mitre.org/data/definitions/95.html;OSVDB-94671;BID-60833;URL-https://bugzilla.redhat.com/show_bug.cgi?id=968166;URL-http://projects.theforeman.org/issues/2631
linux/http/fritzbox_echo_exec,OSVDB-103289;BID-65520;URL-http://www.kapple.de/?p=75;URL-https://www.speckmarschall.de/hoere.htm;URL-http://pastebin.com/GnMKGmZ2;URL-http://www.avm.de/en/Sicherheit/update_list.html;URL-http://breaking.systems/blog/2014/04/avm-fritzbox-root-rce-from-patch-to-metasploit-module-ii
linux/http/gitlist_exec,CVE-2014-4511;EDB-33929;URL-http://hatriot.github.io/blog/2014/06/29/gitlist-rce/
linux/http/gpsd_format_string,CVE-2004-1388;OSVDB-13199;BID-12371;URL-http://www.securiteam.com/unixfocus/5LP0M1PEKK.html
linux/http/groundwork_monarch_cmd_exec,CVE-2013-3502;OSVDB-91051;US-CERT-VU-345260;URL-https://www.sec-consult.com/fxdata/seccons/prod/temedia/advisories_txt/20130308-0_GroundWork_Monitoring_Multiple_critical_vulnerabilities_wo_poc_v10.txt
linux/http/hp_system_management,OSVDB-91812
linux/http/kloxo_sqli,URL-https://vpsboard.com/topic/3384-kloxo-installations-compromised/;URL-http://www.webhostingtalk.com/showthread.php?p=8996984;URL-http://forum.lxcenter.org/index.php?t=msg&th=19215&goto=102646
linux/http/lifesize_uvc_ping_rce,EDB-32437
linux/http/linksys_apply_cgi,CVE-2005-2799;OSVDB-19389;URL-http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=305
linux/http/linksys_e1500_apply_exec,BID-57760;EDB-24475;OSVDB-89912;URL-http://www.s3cur1ty.de/m1adv2013-004
linux/http/linksys_themoon_exec,EDB-31683;BID-65585;OSVDB-103321;URL-http://packetstormsecurity.com/files/125253/linksyseseries-exec.txt;URL-http://packetstormsecurity.com/files/125252/Linksys-Worm-Remote-Root.html;URL-https://isc.sans.edu/diary/Linksys+Worm+%22TheMoon%22+Summary%3A+What+we+know+so+far/17633;URL-https://isc.sans.edu/forums/diary/Linksys+Worm+TheMoon+Captured/17630
linux/http/linksys_wrt110_cmd_exec,CVE-2013-3568;BID-61151;URL-http://seclists.org/bugtraq/2013/Jul/78
linux/http/linksys_wrt160nv2_apply_exec,BID-57887;EDB-24478;OSVDB-90093;URL-http://www.s3cur1ty.de/m1adv2013-012
linux/http/linksys_wrt54gl_apply_exec,OSVDB-89912;BID-57459;EDB-24202;URL-http://www.s3cur1ty.de/m1adv2013-001
linux/http/multi_ncc_ping_exec,CVE-2015-1187;BID-72816;URL-https://github.com/darkarnium/secpub/tree/master/Multivendor/ncc2;URL-http://seclists.org/fulldisclosure/2015/Mar/15;URL-http://securityadvisories.dlink.com/security/publication.aspx?name=SAP10052
linux/http/mutiny_frontend_upload,CVE-2013-0136;OSVDB-93444;US-CERT-VU-701572;URL-https://community.rapid7.com/community/metasploit/blog/2013/05/15/new-1day-exploits-mutiny-vulnerabilities
linux/http/netgear_dgn1000b_setup_exec,BID-57836;EDB-24464;OSVDB-89985;URL-http://www.s3cur1ty.de/m1adv2013-005
linux/http/netgear_dgn2200b_pppoe_exec,BID-57998;EDB-24513;OSVDB-90320;URL-http://www.s3cur1ty.de/m1adv2013-015
linux/http/netgear_readynas_exec,CVE-2013-2751;OSVDB-98826;URL-http://www.tripwire.com/state-of-security/vulnerability-management/readynas-flaw-allows-root-access-unauthenticated-http-request/;URL-http://www.tripwire.com/register/security-advisory-netgear-readynas/
linux/http/nginx_chunked_size,CVE-2013-2028;OSVDB-93037;URL-http://nginx.org/en/security_advisories.html;URL-http://packetstormsecurity.com/files/121560/Nginx-1.3.9-1.4.0-Stack-Buffer-Overflow.html
linux/http/openfiler_networkcard_exec,BID-55490;URL-http://itsecuritysolutions.org/2012-09-06-Openfiler-v2.x-multiple-vulnerabilities/;OSVDB-93881;EDB-21191
linux/http/pandora_fms_exec,No-references
linux/http/pandora_fms_sqli,URL-http://pandorafms.com/downloads/whats_new_5-SP3.pdf;URL-http://blog.pandorafms.org/?p=2041
linux/http/peercast_url,CVE-2006-1148;OSVDB-23777;BID-17040;URL-http://www.infigo.hr/in_focus/INFIGO-2006-03-01
linux/http/pineapp_ldapsyncnow_exec,ZDI-13-185;OSVDB-95781
linux/http/pineapp_livelog_exec,ZDI-13-184;OSVDB-95779
linux/http/pineapp_test_li_conn_exec,ZDI-13-188;OSVDB-95782
linux/http/piranha_passwd_exec,CVE-2000-0248;OSVDB-289;BID-1148;CVE-2000-0322;OSVDB-1300;BID-1149
linux/http/raidsonic_nas_ib5220_exec_noauth,OSVDB-90221;EDB-24499;BID-57958;URL-http://www.s3cur1ty.de/m1adv2013-010
linux/http/railo_cfml_rfi,CVE-2014-5468;URL-http://hatriot.github.io/blog/2014/08/27/railo-security-part-four/
linux/http/realtek_miniigd_upnp_exec_noauth,CVE-2014-8361;ZDI-15-155;URL-http://h30499.www3.hp.com/t5/HP-Security-Research-Blog/Software-Development-KITchen-sink/ba-p/6745115#.VWVfsM_tmko;URL-http://securityadvisories.dlink.com/security/publication.aspx?name=SAP10055
linux/http/seagate_nas_php_exec_noauth,CVE-2014-8684;CVE-2014-8686;CVE-2014-8687;EDB-36202;URL-http://www.seagate.com/au/en/support/external-hard-drives/network-storage/business-storage-2-bay-nas/;URL-https://beyondbinary.io/advisory/seagate-nas-rce/
linux/http/smt_ipmi_close_window_bof,CVE-2013-3623;URL-https://community.rapid7.com/community/metasploit/blog/2013/11/06/supermicro-ipmi-firmware-vulnerabilities
linux/http/sophos_wpa_iface_exec,ZDI-14-069
linux/http/sophos_wpa_sblistpack_exec,CVE-2013-4983;OSVDB-97029;BID-62263;EDB-28175;URL-http://www.coresecurity.com/advisories/sophos-web-protection-appliance-multiple-vulnerabilities
linux/http/symantec_web_gateway_exec,CVE-2012-0297;OSVDB-82925;BID-53444;ZDI-12-090;URL-http://www.symantec.com/security_response/securityupdates/detail.jsp?fid=security_advisory&pvid=security_advisory&year=2012&suid=20120517_00
linux/http/symantec_web_gateway_file_upload,CVE-2012-0299;OSVDB-82025;BID-53443;ZDI-12-091;URL-http://www.symantec.com/security_response/securityupdates/detail.jsp?fid=security_advisory&pvid=security_advisory&year=2012&suid=20120517_00
linux/http/symantec_web_gateway_lfi,CVE-2012-0297;OSVDB-82023;EDB-18932;URL-http://www.symantec.com/security_response/securityupdates/detail.jsp?fid=security_advisory&pvid=security_advisory&year=2012&suid=20120517_00
linux/http/symantec_web_gateway_pbcontrol,CVE-2012-2953;OSVDB-84120;BID-54426;EDB-20088;URL-http://www.symantec.com/security_response/securityupdates/detail.jsp?fid=security_advisory&pvid=security_advisory&year=2012&suid=20120720_00
linux/http/symantec_web_gateway_restore,CVE-2014-7285;OSVDB-116009;BID-71620;URL-http://karmainsecurity.com/KIS-2014-19;URL-http://www.symantec.com/security_response/securityupdates/detail.jsp?fid=security_advisory&pvid=security_advisory&year=&suid=20141216_00
linux/http/synology_dsm_sliceupload_exec_noauth,CVE-2013-6955;OSVDB-101247
linux/http/vap2500_tools_command_exec,CVE-2014-8423;CVE-2014-8424;OSVDB-115045;OSVDB-115046;BID-71297;BID-71299;URL-http://goto.fail/blog/2014/11/25/at-and-t-u-verse-vap2500-the-passwords-they-do-nothing/
linux/http/vcms_upload,CVE-2011-4828;OSVDB-77183;BID-50706;URL-http://bugs.v-cms.org/view.php?id=53;URL-http://xforce.iss.net/xforce/xfdb/71358
linux/http/wanem_exec,OSVDB-85344;OSVDB-85345;URL-http://itsecuritysolutions.org/2012-08-12-wanem-v2.3-multiple-vulnerabilities/
linux/http/webcalendar_settings_exec,CVE-2012-1495;OSVDB-81329;EDB-18775
linux/http/webid_converter,OSVDB-73609;EDB-17487;URL-http://www.webidsupport.com/forums/showthread.php?3892
linux/http/zabbix_sqli,CVE-2013-5743;URL-https://support.zabbix.com/browse/ZBX-7091
linux/http/zen_load_balancer_exec,OSVDB-85654;URL-http://itsecuritysolutions.org/2012-09-21-ZEN-Load-Balancer-v2.0-and-v3.0-rc1-multiple-vulnerabilities/
linux/http/zenoss_showdaemonxmlconfig_exec,URL-http://itsecuritysolutions.org/2012-07-30-zenoss-3.2.1-multiple-security-vulnerabilities/;OSVDB-84408
linux/ids/alienvault_centerd_soap_exec,CVE-2014-3804;BID-67999;ZDI-14-202;URL-http://forums.alienvault.com/discussion/2690
linux/ids/snortbopre,CVE-2005-3252;OSVDB-20034;BID-15131;URL-http://xforce.iss.net/xforce/alerts/id/207
linux/imap/imap_uw_lsub,CVE-2000-0284;OSVDB-12037;BID-1110;EDB-284
linux/local/desktop_privilege_escalation,No-references
linux/local/hp_smhstart,OSVDB-91990
linux/local/kloxo_lxsuexec,EDB-25406;OSVDB-93287;URL-http://roothackers.net/showthread.php?tid=92
linux/local/pkexec,CVE-2011-1485;EDB-17942;OSVDB-72261
linux/local/sock_sendpage,CVE-2009-2692;OSVDB-56992;URL-http://blog.cr0.org/2009/08/linux-null-pointer-dereference-due-to.html;URL-http://www.grsecurity.net/~spender/wunderbar_emporium2.tgz
linux/local/sophos_wpa_clear_keys,CVE-2013-4984;OSVDB-97028;BID-62265;URL-http://www.coresecurity.com/advisories/sophos-web-protection-appliance-multiple-vulnerabilities
linux/local/udev_netlink,CVE-2009-1185;OSVDB-53810;BID-34536
linux/local/vmware_mount,CVE-2013-1662;OSVDB-96588;BID-61966;URL-http://blog.cmpxchg8b.com/2013/08/security-debianisms.html;URL-http://www.vmware.com/support/support-resources/advisories/VMSA-2013-0010.html;URL-https://community.rapid7.com/community/metasploit/blog/2013/09/05/cve-2013-1662-vmware-mount-exploit
linux/local/zpanel_zsudo,No-references
linux/misc/accellion_fta_mpipe2,OSVDB-71362;OSVDB-71363;URL-http://www.rapid7.com/security-center/advisories/R7-0039.jsp
linux/misc/drb_remote_codeexec,URL-http://www.ruby-doc.org/stdlib-1.9.3/libdoc/drb/rdoc/DRb.html
linux/misc/gld_postfix,CVE-2005-1099;OSVDB-15492;BID-13129;EDB-934
linux/misc/hikvision_rtsp_bof,CVE-2014-4880;URL-https://community.rapid7.com/community/metasploit/blog/2014/11/19/r7-2014-18-hikvision-dvr-devices--multiple-vulnerabilities
linux/misc/hp_data_protector_cmd_exec,CVE-2011-0923;OSVDB-72526;ZDI-11-055;URL-http://c4an-dl.blogspot.com/hp-data-protector-vuln.html;URL-http://hackarandas.com/blog/2011/08/04/hp-data-protector-remote-shell-for-hpux;URL-https://community.rapid7.com/thread/2253
linux/misc/hp_nnmi_pmd_bof,CVE-2014-2624;ZDI-14-305
linux/misc/hp_vsa_login_bof,CVE-2013-2343;OSVDB-94701;ZDI-13-179;URL-http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?objectID=c03661318
linux/misc/hplip_hpssd_exec,CVE-2007-5208;OSVDB-41693;BID-26054;URL-https://bugzilla.redhat.com/show_bug.cgi?id=319921;URL-https://bugzilla.redhat.com/attachment.cgi?id=217201&action=edit
linux/misc/ib_inet_connect,CVE-2007-5243;OSVDB-38605;BID-25917;URL-http://www.risesecurity.org/advisories/RISE-2007002.txt
linux/misc/ib_jrd8_create_database,CVE-2007-5243;OSVDB-38606;BID-25917;URL-http://www.risesecurity.org/advisories/RISE-2007002.txt
linux/misc/ib_open_marker_file,CVE-2007-5244;OSVDB-38610;BID-25917;URL-http://www.risesecurity.org/advisories/RISE-2007002.txt
linux/misc/ib_pwd_db_aliased,CVE-2007-5243;OSVDB-38607;BID-25917;URL-http://www.risesecurity.org/advisories/RISE-2007002.txt
linux/misc/lprng_format_string,CVE-2000-0917;OSVDB-421;BID-1712;US-CERT-VU-382365;URL-http://www.cert.org/advisories/CA-2000-22.html;URL-https://bugzilla.redhat.com/show_bug.cgi?id=17756;EDB-226;EDB-227;EDB-230
linux/misc/mongod_native_helper,CVE-2013-1892;OSVDB-91632;BID-58695;URL-http://blog.scrt.ch/2013/03/24/mongodb-0-day-ssji-to-rce/
linux/misc/nagios_nrpe_arguments,CVE-2013-1362;OSVDB-90582;BID-58142;URL-http://www.occamsec.com/vulnerabilities.html#nagios_metacharacter_vulnerability
linux/misc/netsupport_manager_agent,CVE-2011-0404;OSVDB-70408;BID-45728;URL-http://seclists.org/fulldisclosure/2011/Jan/90;EDB-15937
linux/misc/novell_edirectory_ncp_bof,CVE-2012-0432;OSVDB-88718;BID-57038;EDB-24205;URL-http://www.novell.com/support/kb/doc.php?id=3426981;URL-http://seclists.org/fulldisclosure/2013/Jan/97
linux/misc/sercomm_exec,OSVDB-101653;URL-https://github.com/elvanderb/TCP-32764
linux/misc/zabbix_server_exec,CVE-2009-4498;OSVDB-60965;BID-37989;EDB-10432;URL-https://support.zabbix.com/browse/ZBX-1030
linux/mysql/mysql_yassl_getname,CVE-2009-4484;BID-37640;BID-37943;BID-37974;OSVDB-61956;URL-http://secunia.com/advisories/38344/;URL-http://intevydis.blogspot.com/2010/01/mysq-yassl-stack-overflow.html
linux/mysql/mysql_yassl_hello,CVE-2008-0226;OSVDB-41195;BID-27140
linux/pop3/cyrus_pop3d_popsubfolders,CVE-2006-2502;OSVDB-25853;BID-18056;EDB-2053;EDB-2185;URL-http://archives.neohapsis.com/archives/fulldisclosure/2006-05/0527.html
linux/postgres/postgres_payload,URL-http://www.leidecker.info/pgshell/Having_Fun_With_PostgreSQL.txt
linux/pptp/poptop_negative_read,CVE-2003-0213;OSVDB-3293;URL-http://securityfocus.com/archive/1/317995;URL-http://www.freewebs.com/blightninjas/
linux/proxy/squid_ntlm_authenticate,CVE-2004-0541;OSVDB-6791;URL-http://www.idefense.com/application/poi/display?id=107;BID-10500
linux/samba/chain_reply,CVE-2010-2063;OSVDB-65518;URL-http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=873
linux/samba/lsa_transnames_heap,CVE-2007-2446;OSVDB-34699
linux/samba/setinfopolicy_heap,CVE-2012-1182;OSVDB-81303;BID-52973;ZDI-12-069
linux/samba/trans2open,CVE-2003-0201;OSVDB-4469;BID-7294;URL-http://seclists.org/bugtraq/2003/Apr/103
linux/smtp/exim4_dovecot_exec,OSVDB-93004;EDB-25297;URL-https://www.redteam-pentesting.de/advisories/rt-sa-2013-001
linux/smtp/exim_gethostbyname_bof,CVE-2015-0235;US-CERT-VU-967332;OSVDB-117579;BID-72325;URL-https://www.qualys.com/research/security-advisories/GHOST-CVE-2015-0235.txt;URL-https://community.qualys.com/blogs/laws-of-vulnerabilities/2015/01/27/the-ghost-vulnerability;URL-http://r-7.co/1CAnMc0
linux/ssh/ceragon_fibeair_known_privkey,CVE-2015-0936;URL-https://gist.github.com/todb-r7/5d86ecc8118f9eeecc15;URL-https://hdm.io/blog/2015/01/20/partial-disclosure-is-annoying
linux/ssh/f5_bigip_known_privkey,URL-https://www.trustmatta.com/advisories/MATTA-2012-002.txt;CVE-2012-1493;OSVDB-82780;URL-https://community.rapid7.com/community/metasploit/blog/2012/06/25/press-f5-for-root-shell
linux/ssh/loadbalancerorg_enterprise_known_privkey,URL-http://packetstormsecurity.com/files/125754/Loadbalancer.org-Enterprise-VA-7.5.2-Static-SSH-Key.html
linux/ssh/quantum_dxi_known_privkey,URL-http://packetstormsecurity.com/files/125755/quantum-root.txt
linux/ssh/quantum_vmpro_backdoor,URL-http://packetstormsecurity.com/files/125760/quantumvmpro-backdoor.txt
linux/ssh/symantec_smg_ssh,CVE-2012-3579;OSVDB-85028;BID-55143;URL-https://www.sec-consult.com/files/20120829-0_Symantec_Mail_Gateway_Support_Backdoor.txt;URL-http://www.symantec.com/security_response/securityupdates/detail.jsp?fid=security_advisory&pvid=security_advisory&suid=20120827_00
linux/telnet/telnet_encrypt_keyid,CVE-2011-4862;OSVDB-78020;BID-51182;EDB-18280
linux/upnp/dlink_upnp_msearch_exec,URL-https://github.com/zcutlip/exploit-poc/tree/master/dlink/dir-815-a1/upnp-command-injection;URL-http://shadow-file.blogspot.com/2013/02/dlink-dir-815-upnp-command-injection.html
linux/upnp/miniupnpd_soap_bof,CVE-2013-0230;OSVDB-89624;BID-57608;URL-https://community.rapid7.com/community/infosec/blog/2013/01/29/security-flaws-in-universal-plug-and-play-unplug-dont-play
multi/browser/adobe_flash_net_connection_confusion,CVE-2015-0336;URL-https://helpx.adobe.com/security/products/flash-player/apsb15-05.html;URL-http://googleprojectzero.blogspot.com/2015/04/a-tale-of-two-exploits.html;URL-http://malware.dontneedcoffee.com/2015/03/cve-2015-0336-flash-up-to-1600305-and.html;URL-https://www.fireeye.com/blog/threat-research/2015/03/cve-2015-0336_nuclea.html;URL-https://blog.malwarebytes.org/exploits-2/2015/03/nuclear-ek-leverages-recently-patched-flash-vulnerability/
multi/browser/adobe_flash_uncompress_zlib_uaf,CVE-2015-0311;URL-https://helpx.adobe.com/security/products/flash-player/apsa15-01.html;URL-http://blog.hacklab.kr/flash-cve-2015-0311-%EB%B6%84%EC%84%9D/;URL-http://blog.coresecurity.com/2015/03/04/exploiting-cve-2015-0311-a-use-after-free-in-adobe-flash-player/
multi/browser/firefox_escape_retval,CVE-2009-2477;OSVDB-55846;BID-35660;URL-https://bugzilla.mozilla.org/show_bug.cgi?id=503286
multi/browser/firefox_proto_crmfrequest,CVE-2012-3993;OSVDB-86111;URL-https://bugzilla.mozilla.org/show_bug.cgi?id=768101;CVE-2013-1710;OSVDB-96019
multi/browser/firefox_proxy_prototype,CVE-2014-8636;URL-https://bugzilla.mozilla.org/show_bug.cgi?id=1120261;URL-https://community.rapid7.com/community/metasploit/blog/2015/03/23/r7-2015-04-disclosure-mozilla-firefox-proxy-prototype-rce-cve-2014-8636
multi/browser/firefox_queryinterface,CVE-2006-0295;OSVDB-22893;BID-16476;URL-http://www.mozilla.org/security/announce/mfsa2006-04.html
multi/browser/firefox_svg_plugin,CVE-2013-0758;CVE-2013-0757;OSVDB-89019;OSVDB-89020;URL-http://www.mozilla.org/security/announce/2013/mfsa2013-15.html;URL-https://bugzilla.mozilla.org/show_bug.cgi?id=813906
multi/browser/firefox_tostring_console_injection,CVE-2013-1710
multi/browser/firefox_webidl_injection,CVE-2014-1510;CVE-2014-1511
multi/browser/firefox_xpi_bootstrapped_addon,URL-https://developer.mozilla.org/en/Extensions/Bootstrapped_extensions;URL-http://dvlabs.tippingpoint.com/blog/2007/06/27/xpi-the-next-malware-vector
multi/browser/itms_overflow,CVE-2009-0950;OSVDB-54833;URL-http://support.apple.com/kb/HT3592;URL-http://redpig.dataspill.org/2009/05/drive-by-attack-for-itunes-811.html
multi/browser/java_atomicreferencearray,CVE-2012-0507;OSVDB-80724;BID-52161;URL-http://weblog.ikvm.net/PermaLink.aspx?guid=cd48169a-9405-4f63-9087-798c4a1866d3;URL-http://blogs.technet.com/b/mmpc/archive/2012/03/20/an-interesting-case-of-jre-sandbox-breach-cve-2012-0507.aspx;URL-http://schierlm.users.sourceforge.net/TypeConfusion.html;URL-https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2012-0507;URL-https://community.rapid7.com/community/metasploit/blog/2012/03/29/cve-2012-0507--java-strikes-again
multi/browser/java_calendar_deserialize,CVE-2008-5353;OSVDB-50500;URL-http://slightlyrandombrokenthoughts.blogspot.com/2008/12/calendar-bug.html;URL-http://landonf.bikemonkey.org/code/macosx/CVE-2008-5353.20090519.html;URL-http://blog.cr0.org/2009/05/write-once-own-everyone.html;URL-http://sunsolve.sun.com/search/document.do?assetkey=1-26-244991-1
multi/browser/java_getsoundbank_bof,CVE-2009-3867;OSVDB-59711;BID-36881;ZDI-09-076
multi/browser/java_jre17_driver_manager,CVE-2013-1488;OSVDB-91472;BID-58504;URL-http://www.contextis.com/research/blog/java-pwn2own/;URL-http://immunityproducts.blogspot.com/2013/04/yet-another-java-security-warning-bypass.html;ZDI-13-076
